SKU  #,Vendor Model,Vendor  #,Item Desc,Store,Onhand Qty
187943,MTFT5-C317,OB,14KT TRICOLOR-GOLD CZ ST. JUDE PENDANT,VJ-LIV,1
187939,DMR-38-JESUS,OB,14KT YELLOW-GOLD JESUS ROUND PENDANT,VJ-LIV,1
192202,DSJ-5,OB,14KT 2TONE-GOLD CZ ST. JUDE PENDANT,VJ-LIV,1
187750,MR4-E,OB,14KT YELLOW-GOLD RELIGIOUS PENDANT,VJ-LIV,1
187764,MOCB3-C517-GUADALUPE,OB,14KT YELLOW-GOLD CZ GUADALUPE PENDANT,VJ-LIV,1
188046,MO6-B,OB,14KT TRICOLOR-GOLD D/C VIRGIN MARY OVAL PENDANT,VJ-LIV,1
187948,MOCB3-C517-JESUS,OB,14KT YELLOW-GOLD CZ JESUS PENDANT,VJ-LIV,1
187779,MTSR3-1,OB,14KT YELLOW-GOLD CZ BAPTISM ROUND PENDANT,VJ-LIV,1
192198,XM30,OB,14KT YELLOW-GOLD MARINER'S ANCHOR CRUCIFIX PENDANT,VJ-LIV,1
187769,PT1425,OB,14KT YELLOW-GOLD CRUCIFIX CROSS PENDANT,VJ-LIV,1
187787,MO5-B,OB,14KT TRICOLOR-GOLD ST. JUDE OVAL PENDANT,VJ-LIV,1
187942,MG3-F,OB,14KT TRI-COLOR-GOLD VIRGIN MARY TEAR DROP PENDANT,VJ-LIV,1
158062,FD-14,OB,14KT TRI-COLOR GOLD SWEET 15 PENDANT,VJ-LIV,1
187967,DMR-35,OB,14KT YELLOW-GOLD VIRGIN MARY ROUND PENDANT,VJ-LIV,1
187761,1.1,OB,14KT YELLOW-GOLD CRUCIFIX CROSS PENDANT,VJ-LIV,1
158071,F019,OB,14KT 15-ANOS MEDALLION,VJ-LIV,1
187961,P57-5,OB,14KT YELLOW-GOLD RELIGIOUS DOUBLE SIDED PENDANT,VJ-BAKER,1
187772,XM33,OB,14KT YELLOW-GOLD CRUCIFIX PENDANT,VJ-LIV,1
187945,MTFT5-C312,OB,14KT TWO TONE-GOLD MULTICOLOR CZ JESUS OVAL PENDANT,VJ-LIV,1
187802,MR8-F,OB,14KT TRI-COLOR-GOLD VIRGIN MARY D/C ROUND PENDANT,VJ-BAKER,1
189406,MR5,OB,14KT TRICOLOR-GOLD JESUS FACE PENDANT,VJ-BAKER,1
187948,MOCB3-C517-JESUS,OB,14KT YELLOW-GOLD CZ JESUS PENDANT,VJ-DEER,1
192197,P57-19,OB,14KT YELLOW-GOLD RELIGIOUS DOUBLE SIDED PENDANT,VJ-DEER,1
189405,DPN12,OB,14KT 2TONE-GOLD GRIM REAPER PENDANT,VJ-DEER,1
187808,MG7-C,OB,14KT YELLOW-GOLD 2TONE GUADALUPE TEAR DROP PENDANT,VJ-BAKER,1
189407,MO8,OB,14KT TRICOLOR-GOLD VIRGIN MARY OVAL PENDANT,VJ-BAKER,1
189422,MR11,OB,14KT TRICOLOR-GOLD VIRGIN MARY ROUND PENDANT,VJ-BAKER,1
187753,MR7-D,OB,14KT YELLOW-GOLD VIRGIN MARY PENDANT,VJ-BAKER,1
192202,DSJ-5,OB,14KT 2TONE-GOLD CZ ST. JUDE PENDANT,VJ-BAKER,1
